iso3c,indicator,year,time_period,obs_val,births_thousands,u5mr_status
AFG,ANC4,2020,2018-2022,27.6,1446.699,Acceleration Needed
AFG,SAB,2020,2018-2022,61.8,1446.699,Acceleration Needed
ALB,ANC4,2018,2018-2022,77.8,28.795,Achieved
ALB,SAB,2018,2018-2022,99.8,28.795,Achieved
DZA,ANC4,2019,2018-2022,69.8,923.648,Achieved
DZA,SAB,2019,2018-2022,98.8,923.648,Achieved
AIA,SAB,2020,2018-2022,100,0.15,Achieved
ATG,SAB,2020,2018-2022,99,1.124,Achieved
ARG,ANC4,2020,2018-2022,90.4,627.741,Achieved
ARG,SAB,2020,2018-2022,98.8,627.741,Achieved
AUS,SAB,2020,2018-2022,96,300.246,Achieved
AUT,SAB,2020,2018-2022,98.1,84.394,Achieved
AZE,SAB,2021,2018-2022,99.9,123.673,Achieved
BHS,SAB,2019,2018-2022,99,4.659,Achieved
BHR,SAB,2019,2018-2022,99.6,16.861,Achieved
BGD,ANC4,2019,2018-2022,36.9,2994.966,On Track
BGD,SAB,2019,2018-2022,59,2994.966,On Track
BRB,SAB,2020,2018-2022,98.4,3.037,Achieved
BLR,ANC4,2019,2018-2022,99.9,87.252,Achieved
BLR,SAB,2020,2018-2022,99.9,87.252,Achieved
BLZ,SAB,2020,2018-2022,94.6,7.193,Achieved
BEN,ANC4,2018,2018-2022,52.1,481.715,Acceleration Needed
BEN,SAB,2018,2018-2022,78.1,481.715,Acceleration Needed
BTN,SAB,2021,2018-2022,98.9,9.648,Achieved
BOL,SAB,2019,2018-2022,81.1,264.07,Achieved
BIH,SAB,2019,2018-2022,99.9,26.764,Achieved
BRA,ANC4,2020,2018-2022,92.2,2723.266,Achieved
BRA,SAB,2020,2018-2022,98.4,2723.266,Achieved
BRN,SAB,2021,2018-2022,99.6,6.058,Achieved
BGR,SAB,2021,2018-2022,94.5,56.663,Achieved
BFA,ANC4,2021,2018-2022,72.2,793.031,Acceleration Needed
BDI,SAB,2021,2018-2022,76.5,439.648,Acceleration Needed
CPV,ANC4,2018,2018-2022,85.6,9.908,Achieved
CPV,SAB,2018,2018-2022,97.3,9.908,Achieved
KHM,ANC4,2022,2018-2022,86.3,318.335,Achieved
